phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
baseline,https://robertdevore.com/page/9/,"Systems, tools, and writing for work that has to hold up.","Systems, tools, and writing for work that has to hold up.",navigational / topic discovery,"systems, tools, and writing for work that has to hold up.","Language, runtime, and local software workflows; Tools with a visible operating record.; Strata; Snips",RepoRadar; How I build.; Make state visible; Keep work inspectable,"What is Systems, tools, and writing for work that has to hold up.?; How does Systems, tools, and writing for work that has to hold up. work?; Who is Systems, tools, and writing for work that has to hold up. for?",,,retain; monitor search and citation performance
baseline,https://robertdevore.com/patience/,Patience,Patience,informational,patience,Expecting the unexpected; Finding success in patience; Related Reading,,What is Patience?; How does Patience work?; Who is Patience for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,Peddle,Peddle,informational,peddle,Demo & Download; Under the hood; Credits & Thank-you's; The road ahead,Related Reading,What is Peddle?; How does Peddle work?; Who is Peddle for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/plan-prompt-publish-a-practical-guide-to-creating-beautifully-useful-content-with-ai/,Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI,Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI,informational / problem-solving,plan. prompt. publish. a practical guide to creating beautifully useful content with ai,Why This Guide Exists; What You’ll Learn (And When); PLAN (Days 1-3); PROMPT (Days 4-6),PUBLISH (Days 7-9); Who This Guide Is For; What You’ll Walk Away With; Want the Bundle? 🤔,What is Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI?; How does Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI work?; Who is Plan. Prompt. Publish. A Practical Guide to Creating Beautifully Useful Content with AI for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/projects/,Projects,Projects,navigational / commercial investigation,projects,Kujo; Active Systems; Strata; Snips,RepoRadar; More Built Tools,What is Projects?; How does Projects work?; Who is Projects for?,,no visible breadcrumb,retain; monitor search and citation performance
baseline,https://robertdevore.com/projects/agents-sdk/,Kujo Agents SDK,Kujo Agents SDK,commercial investigation / adoption,kujo agents sdk,Why Agents SDK exists; What it provides; Run the offline proof; Current boundary,,What is Kujo Agents SDK?; How does Kujo Agents SDK work?; Who is Kujo Agents SDK for?,,thin for a substantive destination; no verified modified date,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/projects/dispatch/,Dispatch,Dispatch,commercial investigation / adoption,dispatch,Why Dispatch exists; What it provides; Run a fixture workflow; Current boundary,,What is Dispatch?; How does Dispatch work?; Who is Dispatch for?,,thin for a substantive destination; no verified modified date,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/projects/kujo/,Kujo,Kujo,commercial investigation / adoption,kujo,Why Kujo exists; What it provides; Start from source; Current boundary,,What is Kujo?; How does Kujo work?; Who is Kujo for?,,thin for a substantive destination; no verified modified date,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/projects/lens/,Lens,Lens,commercial investigation / adoption,lens,Why Lens exists; What it provides; Check a local page; Current boundary,,What is Lens?; How does Lens work?; Who is Lens for?,,thin for a substantive destination; no verified modified date,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/projects/sitekit/,SiteKit,SiteKit,commercial investigation / adoption,sitekit,Why SiteKit exists; What it provides; Verify the source model; Current boundary,,What is SiteKit?; How does SiteKit work?; Who is SiteKit for?,,thin for a substantive destination; no verified modified date,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/projects/ssg/,Kujo SSG,Kujo SSG,commercial investigation / adoption,kujo ssg,Why Kujo SSG exists; What it provides; Build a site; Current boundary,,What is Kujo SSG?; How does Kujo SSG work?; Who is Kujo SSG for?,,thin for a substantive destination; no verified modified date,editorial review: clarify purpose and add only evidence-backed useful detail
baseline,https://robertdevore.com/release-notes-back-in-stock-notifications-for-woocommerce-free-v1-0-1/,Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1,Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1,commercial investigation / product discovery,release notes: back in stock notifications for woocommerce® (free) v1.0.1,Key Updates in v1.0.1; 1. Optimized Notification Handling in bisn_notify_waitlist_on_restock; 2. Improved CSV Export with Batching in bisn_export_csv; How These Updates Benefit You,Upgrade Instructions; Related Reading,What is Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1?; How does Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1 work?; Who is Release Notes: Back In Stock Notifications for WooCommerce® (free) v1.0.1 for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/relentless/,Relentless,Relentless,informational,relentless,Daily work; Weekly goals; Monthly maintenance; Physical Fitness,Key takeaway; Related Reading,What is Relentless?; How does Relentless work?; Who is Relentless for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/rethinking-keyword-research-in-the-age-of-ai/,Rethinking Keyword Research in the Age of AI,Rethinking Keyword Research in the Age of AI,informational,rethinking keyword research in the age of ai,"Keywords Aren’t Strategy – They’re Clues; The Short Report? All Surface, No Soul; The Long Report? Messy, but Valuable; Real Strategy Is Messy (and That’s Okay)","Insight > Keywords Every Time; Strategy Isn’t Optional – It’s The Only Game; If You’re Just Chasing Keywords, You’re Already Behind; Related Reading",What is Rethinking Keyword Research in the Age of AI?; How does Rethinking Keyword Research in the Age of AI work?; Who is Rethinking Keyword Research in the Age of AI for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/reusable-flask-error-handling-a-step-by-step-guide-to-modular-http-error-responses/,Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses,Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses,informational / problem-solving,reusable flask error handling: a step-by-step guide to modular http error responses,Step 1: Set Up the errors.py Module; Code for errors.py; Step 2: Integrate the errors.py Module; Code for app.py,Step 3: Create Error Templates; HTML Template for 404.html; Other Templates; Step 4: Testing the Error Handlers,What is Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses?; How does Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses work?; Who is Reusable Flask Error Handling: A Step-by-Step Guide to Modular HTTP Error Responses for?,,no verified modified date,retain; monitor search and citation performance
baseline,https://robertdevore.com/run-a-tor-relay/,Run a Tor relay,Run a Tor relay,informational,run a tor relay,What is a Tor relay?; Getting started with Digital Ocean; Creating your Droplet; Setting up your Tor relay,My thoughts on the process; Thank You's; Related Reading,What is Run a Tor relay?; How does Run a Tor relay work?; Who is Run a Tor relay for?,,no verified modified date,retain; monitor search and citation performance
